0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
1,0
1,24
2,0
2,24
3,0
3,24
4,0
4,24
5,0
5,24
6,0
6,11
6,12
6,13
6,24
7,0
7,11
7,12
7,13
7,24
8,0
8,11
8,12
8,13
8,24
9,0
9,11
9,12
9,13
9,24
10,0
10,11
10,12
10,13
10,24
11,0
11,11
11,12
11,13
11,24
12,0
12,24
13,0
13,24
14,0
14,24
15,0
15,24
16,0
16,24
17,0
17,10
17,11
17,12
17,13
17,14
17,15
17,16
17,24
18,0
18,10
18,11
18,12
18,13
18,14
18,15
18,16
18,24
19,0
19,24
20,0
20,24
21,0
21,24
22,0
22,24
23,0
23,24
24,0
24,1
24,2
24,3
24,4
24,5
24,6
24,7
24,8
24,9
24,10
24,11
24,12
24,13
24,14
24,15
24,16
24,17
24,18
24,19
24,20
24,21
24,22
24,23
24,24
